Instance, TimeLimit, Solver, Objective Value
ds.mps, 10, gurobi(exact), 5418.56
ds.mps, 10, gurobi(heur), 5418.56
ds.mps, 10, FJ, 1517.1625
ds.mps, 10, highs, N/A
ds.mps, 10, cplex, 1322.96
ds.mps, 10, Local-ILP, 1088.795
ex1010-pi.mps, 10, SCIP, 282.0
ex1010-pi.mps, 10, gurobi(exact), 303.0
ex1010-pi.mps, 10, gurobi(heur), 303.0
ex1010-pi.mps, 10, FJ, 378.0
ex1010-pi.mps, 10, highs, N/A
ex1010-pi.mps, 10, cplex, 280.0
ex1010-pi.mps, 10, Local-ILP, 278.0
f2000.mps, 10, SCIP, N/A
f2000.mps, 10, gurobi(exact), N/A
f2000.mps, 10, gurobi(heur), N/A
f2000.mps, 10, FJ, N/A
f2000.mps, 10, highs, N/A
f2000.mps, 10, cplex, N/A
f2000.mps, 10, Local-ILP, N/A
fhnw-sq2.mps, 10, SCIP, N/A
fhnw-sq2.mps, 10, gurobi(exact), N/A
fhnw-sq2.mps, 10, gurobi(heur), N/A
fhnw-sq2.mps, 10, FJ, N/A
fhnw-sq2.mps, 10, highs, N/A
fhnw-sq2.mps, 10, cplex, N/A
fhnw-sq2.mps, 10, Local-ILP, N/A
graph20-80-1rand.mps, 10, SCIP, -1.0
graph20-80-1rand.mps, 10, gurobi(exact), -1.0
graph20-80-1rand.mps, 10, gurobi(heur), -1.0
graph20-80-1rand.mps, 10, FJ, 0.0
graph20-80-1rand.mps, 10, highs, N/A
graph20-80-1rand.mps, 10, cplex, 0.0
graph20-80-1rand.mps, 10, Local-ILP, -1.0
graph40-20-1rand.mps, 10, SCIP, -1.0
graph40-20-1rand.mps, 10, gurobi(exact), 0.0
graph40-20-1rand.mps, 10, gurobi(heur), 0.0
graph40-20-1rand.mps, 10, FJ, 0.0
graph40-20-1rand.mps, 10, highs, N/A
graph40-20-1rand.mps, 10, cplex, 0.0
graph40-20-1rand.mps, 10, Local-ILP, -4.0
graph40-40-1rand.mps, 10, SCIP, N/A
graph40-40-1rand.mps, 10, gurobi(exact), 0.0
graph40-40-1rand.mps, 10, gurobi(heur), 0.0
graph40-40-1rand.mps, 10, FJ, 0.0
graph40-40-1rand.mps, 10, highs, N/A
graph40-40-1rand.mps, 10, cplex, 0.0
graph40-40-1rand.mps, 10, Local-ILP, -3.0
graph40-80-1rand.mps, 10, SCIP, N/A
graph40-80-1rand.mps, 10, gurobi(exact), 0.0
graph40-80-1rand.mps, 10, gurobi(heur), 0.0
graph40-80-1rand.mps, 10, FJ, 0.0
graph40-80-1rand.mps, 10, highs, N/A
graph40-80-1rand.mps, 10, cplex, 0.0
graph40-80-1rand.mps, 10, Local-ILP, 0.0
